                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.70692,                0.71167,                0.99167,                0.69882,                0.47936,                0.57829,                0.40029,                 1.1207,                 1.7164,                 1.2229,             0.00034663,             0.00034663,             0.00034663
                     75,                0.71572,                0.71099,                 1.0053,                0.62143,                0.56575,                 0.6175,                 0.4208,                 1.0597,                 1.4865,                 1.1992,             0.00033425,             0.00033425,             0.00033425
                     76,                0.69079,                0.70221,                0.99737,                0.66601,                0.54887,                0.57804,                0.40675,                 1.0232,                 1.5334,                 1.1711,             0.00032188,             0.00032188,             0.00032188
                     77,                0.67423,                 0.6889,                0.99273,                0.65751,                0.54701,                0.55438,                0.37796,                 1.0333,                 1.6855,                  1.158,              0.0003095,              0.0003095,              0.0003095
                     78,                0.68582,                0.68044,                0.98835,                0.66657,                0.49787,                0.58295,                0.40865,                 1.0505,                 1.5595,                 1.2124,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67243,                0.66737,                0.98161,                0.59021,                0.61041,                0.59247,                0.40743,                  1.098,                 1.6604,                 1.2224,             0.00028475,             0.00028475,             0.00028475
                     80,                0.67697,                0.66733,                0.98898,                0.66571,                0.57022,                0.60995,                0.40885,                 1.0866,                 1.6087,                  1.216,             0.00027237,             0.00027237,             0.00027237
                     81,                0.64788,                0.66279,                0.98218,                0.71024,                 0.5073,                 0.6037,                 0.4222,                 1.0549,                 1.6513,                 1.1961,                0.00026,                0.00026,                0.00026
                     82,                0.64107,                0.64611,                0.97822,                0.61681,                0.53262,                0.56697,                 0.3869,                 1.0955,                 1.7071,                 1.2109,             0.00024762,             0.00024762,             0.00024762
                     83,                0.64049,                0.63535,                0.96957,                  0.605,                0.58612,                0.59132,                0.40498,                 1.0748,                 1.7337,                  1.208,             0.00023525,             0.00023525,             0.00023525
                     84,                0.65727,                0.63919,                0.97782,                 0.6633,                 0.5172,                 0.5938,                0.40177,                 1.1012,                 1.6963,                 1.2317,             0.00022288,             0.00022288,             0.00022288
                     85,                0.64561,                0.63697,                 0.9798,                0.70568,                0.53887,                0.60501,                0.41612,                 1.0814,                 1.5954,                 1.2094,              0.0002105,              0.0002105,              0.0002105
                     86,                0.64229,                0.64701,                0.97446,                0.62026,                0.60074,                0.60416,                0.41865,                 1.0259,                 1.5868,                 1.1491,             0.00019813,             0.00019813,             0.00019813
                     87,                 0.6415,                0.63184,                 0.9744,                0.70175,                0.49458,                 0.5813,                0.40295,                  1.041,                 1.6567,                 1.1728,             0.00018575,             0.00018575,             0.00018575
                     88,                 0.6255,                0.61679,                0.96514,                0.66484,                0.53712,                0.57953,                0.41223,                 1.0423,                 1.7335,                 1.1736,             0.00017338,             0.00017338,             0.00017338
                     89,                0.62494,                0.61248,                0.96232,                0.61342,                0.61083,                0.59751,                0.41653,                 1.0308,                 1.6137,                 1.1771,               0.000161,               0.000161,               0.000161
                     90,                 0.6199,                 0.6022,                0.96088,                0.63648,                0.57742,                0.59502,                0.41922,                 1.0302,                 1.6065,                 1.1771,             0.00014862,             0.00014862,             0.00014862
                     91,                0.58028,                0.52775,                0.92693,                0.63385,                 0.5589,                0.57357,                0.39689,                 1.0715,                 1.7715,                 1.1852,             0.00013625,             0.00013625,             0.00013625
                     92,                0.55558,                0.48067,                0.91191,                0.61884,                0.56722,                0.56238,                0.39114,                  1.048,                 1.8302,                  1.179,             0.00012387,             0.00012387,             0.00012387
                     93,                0.53809,                0.45093,                0.90289,                0.61802,                0.57877,                0.59814,                 0.4198,                 1.0313,                 1.6618,                 1.1919,              0.0001115,              0.0001115,              0.0001115
                     94,                0.55157,                0.46359,                0.91391,                0.67659,                0.57919,                0.60607,                0.43064,                 1.0286,                 1.7005,                 1.1911,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.55216,                 0.4572,                0.92566,                0.63965,                0.58731,                0.60134,                0.42624,                 1.0308,                 1.6843,                 1.1944,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.53839,                0.44354,                0.90773,                 0.7074,                0.51924,                0.60585,                0.42367,                 1.0212,                 1.7136,                 1.1681,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.52998,                0.44481,                0.89938,                0.60648,                 0.6119,                0.60477,                0.42794,                 1.0351,                 1.7401,                 1.1817,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.53146,                0.44055,                0.90848,                0.68474,                0.58146,                 0.6034,                0.42249,                 1.0725,                 1.7196,                 1.2171,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.52433,                0.43701,                0.89589,                0.68359,                0.57363,                0.61176,                0.42382,                 1.0586,                 1.7099,                 1.2085,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.51356,                0.42464,                0.89001,                0.67352,                0.57881,                0.61649,                0.43028,                 1.0751,                 1.6726,                 1.2309,             2.4875e-05,             2.4875e-05,             2.4875e-05
