                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.66499,                0.70614,                 1.0919,                0.71504,                0.61093,                   0.68,                0.53428,                0.93003,                 1.2211,                  1.294,               0.000359,               0.000359,               0.000359
                     74,                0.67407,                0.67556,                 1.0871,                0.68512,                0.64059,                0.67072,                 0.5275,                0.95311,                 1.2234,                 1.3307,             0.00034663,             0.00034663,             0.00034663
                     75,                 0.6556,                0.65601,                 1.0817,                0.72817,                 0.6295,                0.68458,                0.53714,                0.88181,                 1.1877,                 1.2728,             0.00033425,             0.00033425,             0.00033425
                     76,                0.65097,                0.64974,                 1.0769,                0.64662,                 0.6719,                0.67318,                0.53229,                0.90118,                 1.2339,                 1.2656,             0.00032188,             0.00032188,             0.00032188
                     77,                0.63148,                0.63094,                 1.0637,                 0.7142,                0.62946,                0.67977,                0.53199,                 0.9013,                 1.2155,                 1.2559,              0.0003095,              0.0003095,              0.0003095
                     78,                0.64319,                0.64169,                 1.0647,                0.73523,                0.60671,                0.67807,                0.53173,                0.86985,                 1.2484,                 1.2431,             0.00029713,             0.00029713,             0.00029713
                     79,                0.62974,                0.62606,                 1.0646,                0.77572,                0.59427,                0.68078,                0.52973,                0.94444,                 1.2244,                 1.3077,             0.00028475,             0.00028475,             0.00028475
                     80,                0.61591,                  0.608,                 1.0497,                0.79694,                 0.5896,                0.69366,                0.54376,                0.91394,                  1.207,                 1.2846,             0.00027237,             0.00027237,             0.00027237
                     81,                0.61591,                0.61538,                 1.0563,                0.68402,                0.66582,                0.69675,                0.54487,                0.91055,                 1.2544,                 1.2954,                0.00026,                0.00026,                0.00026
                     82,                0.61443,                0.58515,                 1.0498,                0.74979,                0.63429,                0.69154,                0.53081,                 0.9489,                 1.2114,                 1.3412,             0.00024762,             0.00024762,             0.00024762
                     83,                0.61628,                0.57564,                   1.06,                 0.7536,                 0.6545,                0.69756,                0.55222,                0.88188,                 1.2126,                 1.2747,             0.00023525,             0.00023525,             0.00023525
                     84,                0.60351,                0.57022,                 1.0541,                0.75173,                0.64491,                0.69736,                0.54515,                0.91216,                 1.2264,                 1.2935,             0.00022288,             0.00022288,             0.00022288
                     85,                0.58786,                0.57087,                 1.0446,                0.78782,                0.60422,                0.69247,                0.54872,                 0.8967,                  1.264,                 1.2733,              0.0002105,              0.0002105,              0.0002105
                     86,                0.58666,                0.57179,                 1.0345,                0.78248,                0.62552,                0.69085,                0.55276,                0.85791,                 1.2488,                 1.2523,             0.00019813,             0.00019813,             0.00019813
                     87,                0.58447,                0.56615,                 1.0366,                0.77606,                0.62367,                0.68456,                0.53365,                0.86741,                 1.2588,                 1.2703,             0.00018575,             0.00018575,             0.00018575
                     88,                0.58681,                0.55504,                 1.0381,                0.78565,                 0.5886,                0.68122,                0.54151,                0.89928,                 1.2799,                 1.2891,             0.00017338,             0.00017338,             0.00017338
                     89,                  0.576,                0.53827,                 1.0242,                0.80357,                0.60846,                0.69014,                0.55419,                0.86445,                 1.2707,                 1.2512,               0.000161,               0.000161,               0.000161
                     90,                0.56992,                0.53604,                 1.0257,                0.77506,                 0.6297,                 0.6989,                0.55577,                0.88613,                 1.2245,                 1.2824,             0.00014862,             0.00014862,             0.00014862
                     91,                0.50737,                 0.4108,                0.96198,                0.78428,                 0.5767,                0.68162,                0.53669,                0.90327,                 1.2644,                 1.2982,             0.00013625,             0.00013625,             0.00013625
                     92,                0.48874,                 0.3732,                0.95015,                0.75786,                0.61809,                0.69396,                0.54341,                0.90399,                 1.2355,                 1.3102,             0.00012387,             0.00012387,             0.00012387
                     93,                0.47863,                0.35458,                0.94731,                0.75308,                0.62136,                0.70149,                0.55385,                 0.9052,                 1.2158,                 1.3253,              0.0001115,              0.0001115,              0.0001115
                     94,                0.46524,                0.35815,                 0.9392,                0.70315,                0.65913,                0.70077,                0.56139,                0.89845,                 1.2431,                 1.3128,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.45979,                0.33844,                0.94133,                 0.7129,                0.65233,                0.70362,                0.56507,                0.89381,                 1.2005,                 1.3153,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.4582,                0.33154,                0.92836,                0.76353,                0.61513,                0.70701,                0.56268,                0.88332,                 1.2188,                 1.2975,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.44881,                0.32461,                0.93021,                0.69314,                0.67139,                0.70185,                0.56341,                0.88786,                 1.1791,                  1.319,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.44022,                0.31454,                0.91806,                0.69651,                0.67134,                0.70074,                0.56315,                0.87884,                  1.201,                 1.3113,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.43656,                0.30833,                0.91883,                0.71138,                 0.6504,                 0.7037,                0.56725,                0.87806,                 1.1769,                 1.3245,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 0.4364,                0.31546,                0.91796,                0.72112,                0.63751,                0.70107,                0.56165,                0.86968,                 1.1875,                 1.3113,             2.4875e-05,             2.4875e-05,             2.4875e-05
